"created_at","text","favorite_count","mentions_user_id","hashtags","place_full_name","id"
2022-06-17,"Andi Dorfman has thoughts about there being two Bachelorettes. 👀 #TheBachelorette @BacheloretteABC

https://t.co/CxBY52oYBE",0,"x288309667","TheBachelorette",,1
2022-06-12,"Ladies and gentlemen, we finally know which men will be competing for Gabby and Rachel's hearts! #TheBachelorette @BacheloretteABC

https://t.co/mJHSsj1sMm",0,"x288309667","TheBachelorette",,2
2022-06-14,"#TheBachelorette Season 19 is less than a month away! @BacheloretteABC

https://t.co/FlPgQb28Zq",0,"x288309667","TheBachelorette",,3
2022-06-17,"Did Michelle and Nayte really break up?! #thebachelorette #bachelornation https://t.co/ftG1nTZZES",0,,"thebachelorette bachelornation",,4
2022-06-17,"Just saw a promo for #TheBachelorette &amp; it looks vapid. No Kaitlyn &amp; Tayshia, two leads, no women of color. I’ll pass.",0,,"TheBachelorette",,5
2022-06-17,"Just counting down the days til the bachelorette returns #TheBachelorette",0,,"TheBachelorette",,6
2022-06-17,"Ekin Su when she’s in Casa Amor #LoveIsland #LoveIslandUK #LoveIsland2022 #ekinsu #casaamor #TheBachelorette https://t.co/l29xRTJjrZ",3,,"LoveIsland LoveIslandUK LoveIsland2022 ekinsu casaamor TheBachelorette",,7
2022-06-17,"The Bachelorette Teaser Trailer: Watch Rachel Recchia and Gabby Windey Search for Love!

#TheBachelorette #Celebrities #World 

https://t.co/6wHslFyLtu",0,,"TheBachelorette Celebrities World",,8
2022-06-17,"accdg to reports @michelleyoung and @kingbabatunde94 are over  #TheBachelorette #TheBachelor #BachelorinParadise",0,"x1415418539347890176 x766103225992880128","TheBachelorette TheBachelor BachelorinParadise",,9
2022-06-17,"Help my cousin in law crawl through Nashville!!!  #venmo #Bachelorette #TheBachelorette #BacheloretteParty #buythebride #bride https://t.co/ePh2k8uIM9",0,,"venmo Bachelorette TheBachelorette BacheloretteParty buythebride bride",,10
2022-06-17,"Zac Clark comes to the defense of ex-fiancee #TayshiaAdams after a woman trolls her on social media #TheBachelorette https://t.co/Bawl8Tl3Vg",0,,"TayshiaAdams TheBachelorette",,11
2022-06-16,"Mike Johnson talks about wanting to see some drama and possible love triangles on the upcoming season of #TheBachelorette https://t.co/u1OlwZliKp",0,,"TheBachelorette",,12
2022-06-16,"The Bachelorette Season 17 star Katie Thurston details her experience on the show and reveals why being the lead is tough work for an empath
#TheBachelorette #KatieThurston 
https://t.co/NSH8mQIqKv",0,,"TheBachelorette KatieThurston",,13
2022-06-13,"#TheBachelorette star Kaitlyn Bristowe gave insight into the extravagant wedding plans she’s making with fiance Jason Tartick
https://t.co/yl4qKBUKGl",0,,"TheBachelorette",,14
2022-06-16,"Bachelor Nation star Mike Johnson would love to see Rachel Recchia and Gabby Windey end up in a love triangle on The Bachelorette https://t.co/ikgoVffni2 #TheBachelorette #BachelorNation",0,,"TheBachelorette BachelorNation",,15
2022-06-14,"The Bachelorette Season 19 star Rachel Recchia’s first impression rose receiver may have been revealed in a trailer for the season
#TheBachelorette 
https://t.co/8i5gBnSWc3",0,,"TheBachelorette",,16
2022-06-14,"Former lead and cohost of The Bachelorette, Kaitlyn Bristowe wore soft colors and avoided ""bursting into flames"" at church
#TheBachelorette #KaitlynBristowe 
https://t.co/X1ZbKbjU7l",0,,"TheBachelorette KaitlynBristowe",,17
2022-06-13,"#TheBachelorette Season 13 star Rachel Lindsay shows up and shows out in rainbow at this year’s LA Pride Parade
https://t.co/sVlieP9BCl",0,,"TheBachelorette",,18
2022-06-13,"#TheBachelorette Season 18 star Pardeep Singh writes message about how he desires to find love and not go through life alone
https://t.co/01QD6mvqGX",0,,"TheBachelorette",,19
2022-06-15,"The Bachelorette Season 18 villain Jamie Skaar reacted to rumors that he's going to be on Bachelor in Paradise
#TheBachelorette #BachelorInParadise 
https://t.co/3OdrelpYLc",1,,"TheBachelorette BachelorInParadise",,20
2022-06-16,"The Bachelorette Season 16 star Tayshia Adams accentuates her curves and abs in a revealing bikini for stunning beach photos
#TheBachelorette 
https://t.co/NSlmHPRQ5V",0,,"TheBachelorette",,21
2022-06-13,"#TheBachelorette Season 19 co-leads Rachel Recchia and Gabby Windey let fans know what to expect from the premiere https://t.co/D5oayhhAZh",0,,"TheBachelorette",,22
2022-06-16,"It is official— Nayte and Michelle split #Bachelorette #BachelorNation #TheBachelorette",0,,"Bachelorette BachelorNation TheBachelorette",,23
2022-06-16,"Did #TheBachelorette couple Michelle Young and Nayte Olukoya split? 😭 See breakup clues. https://t.co/1cofXMYZ15",0,,"TheBachelorette",,24
2022-06-14,"#TheBachelorette lead Rachel Recchia is *the* pilot in Bachelor Nation, but her job didn't always come too easy. 😟 Get details on the reality star's occupation. ✈️ 
https://t.co/fto3rnXgB4",0,,"TheBachelorette",,25
2022-06-16,"#TheBachelorette alum Becca Kufrin seemingly shaded ex Garrett Yrigoyen by saying she ""actually wants"" to marry Thomas Jacobs. 👀 https://t.co/5CxFsLDEpH",0,,"TheBachelorette",,26
2022-06-12,"When you’re absolutely buzzin for 29 days time when a brand new season of @BacheloretteABC lands in our life and we’re once again left wanting so much more. I am ready for another wild ride #Bachelorette #BachelorNation #TheBachelorette https://t.co/CFl8LetZYe",0,"x288309667","Bachelorette BachelorNation TheBachelorette",,27
2022-06-14,"When you’re absolutely buzzin for 27 days time when a brand new season of @BacheloretteABC lands in our life and we’re once again left wanting so much more. I am ready for another wild ride #Bachelorette #BachelorNation #TheBachelorette https://t.co/aOuyy1BGkm",0,"x288309667","Bachelorette BachelorNation TheBachelorette",,28
2022-06-16,"When you’re absolutely buzzin for 25 days time when a brand new season of @BacheloretteABC lands in our life and we’re once again left wanting so much more. I am ready for another wild ride #Bachelorette #BachelorNation #TheBachelorette https://t.co/J0AYCMMmbl",0,"x288309667","Bachelorette BachelorNation TheBachelorette",,29
2022-06-15,"When you’re absolutely buzzin for 26 days time when a brand new season of @BacheloretteABC lands in our life and we’re once again left wanting so much more. I am ready for another wild ride #Bachelorette #BachelorNation #TheBachelorette https://t.co/INxuOvs6VP",0,"x288309667","Bachelorette BachelorNation TheBachelorette",,30
2022-06-13,"When you’re absolutely buzzin for 28 days time when a brand new season of @BacheloretteABC lands in our life and we’re once again left wanting so much more. I am ready for another wild ride #Bachelorette #BachelorNation #TheBachelorette https://t.co/OthcbdE2Cj",0,"x288309667","Bachelorette BachelorNation TheBachelorette",,31
2022-06-14,"Season 19 of #TheBachelorette is almost here! https://t.co/gwZhGUopck",2,,"TheBachelorette",,32
2022-06-15,"As #BachelorNation ponders how Gabby Windey and Rachel Recchia’s joint season of #TheBachelorette will work, former contestant Mike Johnson is ready for the drama. https://t.co/6rt9SEdpL1",3,,"BachelorNation TheBachelorette",,33
2022-06-16,"#TheBachelorette’s Zac Clark still has ex-fiancée Tayshia Adams’ back — and isn’t afraid to clap back at her social media trolls. https://t.co/W4Rhu6cjrP",2,,"TheBachelorette",,34
2022-06-13,"While not every #TheBachelor or #TheBachelorette found lasting love during their time on the franchise, they all do get their own poster and tagline — some more memorable than others. 🌹 https://t.co/Slj7FvjsvA",3,,"TheBachelor TheBachelorette",,35
2022-06-13,"Andi Dorfman got real about #TheBachelorette casting two leads for season 19 — and why she’s not a fan of the concept. https://t.co/Uk8VCVEly8",5,,"TheBachelorette",,36
