"created_at","text","favorite_count","mentions_user_id","hashtags","place_full_name","id"
2022-07-06,"Finally! #TheBachelorette https://t.co/xQMGV9nLpG",0,,"TheBachelorette",,1
2022-07-06,"I must be dedicated to watching this season of The Bachelorette cause I have yet to read any of RS spoilers so far. #TheBachelorette #TheBachelor",0,,"TheBachelorette TheBachelor",,2
2022-07-06,"That “OR WHAT?” was in girls dreams for weeks on end! Phew, Tyler 🥵🤤😮‍💨
#TheBachelorette https://t.co/hIB31ttf4i",2,,"TheBachelorette",,3
2022-07-06,"Monday??? Season premiere??? My place or yours???? @leannnnnne_  #TheBachelorette 🌹",3,"x3105938029","TheBachelorette","Texas, USA",4
2022-07-06,"As we approach the season premiere of #TheBachelorette I will be roasting a few of the men per day. Here are today’s men:",2,,"TheBachelorette",,5
2022-07-06,"Only 5 more days until the premiere! Create your own leagues today!  #thebachelorette #thebachelor #thebacheloretterachel #thebachelorettegabby #abc #realtvfantasy https://t.co/UNNGHKUR4N https://t.co/QxMpEOEZms",0,,"thebachelorette thebachelor thebacheloretterachel thebachelorettegabby abc realtvfantasy",,6
2022-07-06,"When you’re absolutely buzzin for 5 days time when a brand new season of @BacheloretteABC lands in our life and we’re once again left wanting so much more. I am ready for another wild ride #Bachelorette #BachelorNation #TheBachelorette https://t.co/acGkacW0d7",0,"x288309667","Bachelorette BachelorNation TheBachelorette",,7
2022-07-06,"We're going Cloud 11, people! #TheBachelorette #BachelorNation https://t.co/gl9s2DOVUH",0,,"TheBachelorette BachelorNation",,8
2022-07-06,"#TheBachelorette  @BacheloretteABC star Michelle Young reveals she was blindsided by Nayte Olukoya breakup https://t.co/rrLYXY1Diq",0,"x288309667","TheBachelorette",,9
2022-07-06,"She gets it ✨ Can’t wait for the series premiere of #ClaimtoFame after #TheBachelorette Monday! https://t.co/ybrGYmyN4S",22,,"ClaimtoFame TheBachelorette",,10
2022-07-06,"Cue the heart-racing romance! 💓 #TheBachelorette https://t.co/Pqes0WU2rO",201,,"TheBachelorette",,11
2022-07-06,"#TheBachelorette alum Clare Crawley, Ayesha Curry, Chrissy Teigen and more celebrities have gotten their breast implants removed. See photos before and after! https://t.co/Xq1kCjwyFo",0,,"TheBachelorette",,12
2022-07-06,"We know a thing or two about making a good first impression 😏🌹 

#bachelornation #TheBachelorette #thebachelorettes",9,,"bachelornation TheBachelorette thebachelorettes",,13
2022-07-06,"Everything to Know About #TheBachelorette Season 19 https://t.co/vhsri81ewZ",0,,"TheBachelorette",,14
2022-07-06,"Part 1 of our breakdown of the player Instagrams of Windecchia is live! #TheBachelorette https://t.co/iHKYTzcxii",4,,"TheBachelorette",,15
2022-07-06,"It's reality tv season, but this may be too much. 😭
#TheBachelorette
#BB24 #TheChallengeUSA 
#LoveIslandUSA (7/19) https://t.co/M7PEKFBJBD",0,,"TheBachelorette BB24 TheChallengeUSA LoveIslandUSA",,16
2022-07-06,"Michelle Young from #TheBachelorette addresses her break-up and what she wants to do with *that* money.  https://t.co/WNUuWs46SM",0,,"TheBachelorette",,17
2022-07-06,"Guys, Matt's sister is gonna be the next Bachelorette, fact-checked, and ready for internet circulation...GO! #BB24 #TheBachelorette https://t.co/Q8r9ib89V7",15,,"BB24 TheBachelorette",,18
2022-07-06,"I have zero drama in my life so I can’t wait for #TheBachelorette to start next Monday.",0,,"TheBachelorette",,19
2022-07-06,"Andrew from the Bachelorette noticed me 🤪😍 #TheBachelorette https://t.co/hV4yxHj6fj",15,,"TheBachelorette",,20
