,id,text,clean_tweet,created_at,source,retweets,replies,likes,quote_count
0,1567573198224642048,"Well Tino mounted the horse from the wrong side, so I don’t think he’s going to cowboy anything #TheBachelorette",Well Tino mounted the horse from the wrong side so I don t think he s going to cowboy anything TheBachelorette,2022-09-07 17:59:09+00:00,Twitter for iPhone,0,0,3,0
1,1567573098538360834,Me watching Gabby &amp; Erich hug vs. Me watching the preview for next week #TheBachelorette #bachelorette https://t.co/dvna3IXA0b,Me watching Gabby amp Erich hug vs Me watching the preview for next week TheBachelorette bachelorette,2022-09-07 17:58:45+00:00,Twitter for iPhone,35,5,1017,2
2,1567572747089494016,Not Rachel saying she loves 2 men after hating Clayton for doing the same thing…🙄 #TheBachelorette https://t.co/eetixviKAJ,Not Rachel saying she loves 2 men after hating Clayton for doing the same thing TheBachelorette,2022-09-07 17:57:21+00:00,Twitter for iPhone,0,0,12,0
3,1567572612095557634,I can def understand not wanting your person to be with somebody else. Idk how Bach nation doesn’t understand that. I’m not mad at Erich about feeling insecure  #TheBachelorette,I can def understand not wanting your person to be with somebody else Idk how Bach nation doesn t understand that I m not mad at Erich about feeling insecure TheBachelorette,2022-09-07 17:56:49+00:00,Twitter for iPhone,0,2,5,0
4,1567572144271532032,"Confused by last night's #FantasySuites? We're here to help with our hard-hitting morning-after coverage! Peep the link below to get in on the fun! #TheBachelorette #BachelorNation 

https://t.co/V0tKDyLvtp https://t.co/AEME9swPyY",Confused by last night s FantasySuites We re here to help with our hard hitting morning after coverage Peep the link below to get in on the fun TheBachelorette BachelorNation,2022-09-07 17:54:57+00:00,Twitter Web App,0,0,2,0
5,1567571947059384322,So is Zack saying Rachel was acting for the cameras.  Yikes 😳#TheBachelorette,So is Zack saying Rachel was acting for the cameras Yikes TheBachelorette,2022-09-07 17:54:10+00:00,Twitter for iPhone,0,0,4,0
6,1567571930881851395,"How is what Rachel doing, saying she loves two men and can see her future with them, any different than what Clayton did???
#TheBachelorette",How is what Rachel doing saying she loves two men and can see her future with them any different than what Clayton did TheBachelorette,2022-09-07 17:54:07+00:00,Twitter for iPhone,0,0,7,0
7,1567571925810937857,"#USTVRatings📺 Sep. 6th @ABCNetwork 

#TheBachelorette 🆕️ 0.6/2.99m (8pm)
#ClaimToFame (F) 🆕️ 0.3/1.85m (10pm)",USTVRatings Sep 6th TheBachelorette 0 6 2 99m 8pm ClaimToFame F 0 3 1 85m 10pm,2022-09-07 17:54:05+00:00,Twitter for Android,0,0,0,0
8,1567571862141427713,"Beautiful people deserve what they need
#bachelorette #TheBachelorette https://t.co/RynY6AaJxt",Beautiful people deserve what they need bachelorette TheBachelorette,2022-09-07 17:53:50+00:00,Twitter for iPhone,0,1,5,0
9,1567571793858142209,"Can everyone just ride a horse? I don't think I got that skill. 
#TheBachelorette",Can everyone just ride a horse I don t think I got that skill TheBachelorette,2022-09-07 17:53:34+00:00,Twitter for Android,0,1,2,0
